attempt_number,submission_time,runtime_ms,score,active
1,2026-02-12T14:25:10.888964-08:00,1.86,95,TRUE
1,2026-02-12T15:12:59.857724-08:00,6.11,95,TRUE
1,2026-02-09T18:48:15.510680-08:00,,0,FALSE
2,2026-02-09T21:50:38.766526-08:00,,0,FALSE
3,2026-02-10T22:03:03.561744-08:00,,0,FALSE
4,2026-02-11T16:50:17.099060-08:00,,0,FALSE
5,2026-02-12T17:52:54.889007-08:00,58.71,0,TRUE
1,2026-02-12T23:32:21.258874-08:00,,0,FALSE
2,2026-02-12T23:38:40.835132-08:00,5.72,95,TRUE
1,2026-02-13T01:38:52.440279-08:00,5.31,95,TRUE
1,2026-02-13T13:47:46.187191-08:00,6.69,95,TRUE
1,2026-02-13T16:42:26.603712-08:00,3.44,95,TRUE
1,2026-02-13T17:34:48.078969-08:00,-1,95,TRUE
1,2026-02-13T17:47:00.051495-08:00,6,95,TRUE
1,2026-02-14T15:45:30.694670-08:00,6.07,95,TRUE
1,2026-02-14T16:56:38.511764-08:00,,75,TRUE
2,2026-02-17T19:32:26.089519-08:00,,0,FALSE
3,2026-02-17T19:34:31.790524-08:00,-1,0,FALSE
4,2026-02-17T21:16:08.813791-08:00,37.17,0,FALSE
5,2026-02-18T16:34:20.319938-08:00,,0,FALSE
6,2026-02-18T17:45:54.483241-08:00,-1,0,FALSE
1,2026-02-14T18:00:49.606884-08:00,5.78,95,TRUE
1,2026-02-14T18:39:42.651066-08:00,4.44,95,TRUE
1,2026-02-14T19:49:49.852971-08:00,5.84,95,TRUE
1,2026-02-14T21:57:04.294043-08:00,,0,FALSE
2,2026-02-14T22:00:21.617337-08:00,6.63,95,TRUE
1,2026-02-15T01:34:23.641766-08:00,-1,0,FALSE
2,2026-02-15T03:13:35.787040-08:00,-1,90,FALSE
3,2026-02-15T04:14:38.891801-08:00,-1,90,TRUE
4,2026-02-21T19:46:16.269373-08:00,,0,FALSE
1,2026-02-15T08:37:34.199365-08:00,4.97,95,FALSE
2,2026-02-15T09:44:04.136733-08:00,5.52,95,TRUE
1,2026-02-14T14:47:33.085531-08:00,38.73,0,FALSE
2,2026-02-15T12:45:54.249261-08:00,-1,95,TRUE
1,2026-02-13T13:10:54.449002-08:00,5.44,95,FALSE
2,2026-02-15T13:23:25.785745-08:00,4.58,95,TRUE
1,2026-02-15T14:47:05.892634-08:00,5.86,95,TRUE
1,2026-02-14T19:22:52.527053-08:00,38.95,0,FALSE
2,2026-02-15T02:16:36.023774-08:00,27.51,75,FALSE
3,2026-02-15T05:28:36.864293-08:00,-1,12.81,FALSE
4,2026-02-15T15:27:54.200002-08:00,5.23,95,TRUE
5,2026-02-16T13:51:35.895194-08:00,-1,77.19,FALSE
1,2026-02-15T17:35:07.286942-08:00,5.85,95,TRUE
1,2026-02-12T22:17:04.982551-08:00,,0,FALSE
2,2026-02-13T13:09:54.794584-08:00,,0,FALSE
3,2026-02-13T13:12:06.462278-08:00,,0,FALSE
4,2026-02-13T13:17:00.305669-08:00,,0,FALSE
5,2026-02-13T14:16:58.536565-08:00,,0,FALSE
6,2026-02-13T14:25:16.291316-08:00,,0,FALSE
7,2026-02-13T14:38:05.145335-08:00,-1,75,FALSE
8,2026-02-13T14:43:56.542844-08:00,,0,FALSE
9,2026-02-13T14:48:24.359238-08:00,,0,FALSE
10,2026-02-13T19:00:41.274865-08:00,,0,FALSE
11,2026-02-13T19:05:00.176256-08:00,,0,FALSE
12,2026-02-15T17:19:49.794854-08:00,,0,FALSE
13,2026-02-15T17:34:45.501249-08:00,,0,FALSE
14,2026-02-15T18:27:28.842761-08:00,33.25,75,TRUE
15,2026-02-15T18:44:19.027917-08:00,35.1,0,FALSE
16,2026-02-15T18:49:57.595251-08:00,38.95,0,FALSE
17,2026-02-15T19:07:10.300432-08:00,38.36,0,FALSE
18,2026-02-16T12:22:09.461305-08:00,,0,FALSE
19,2026-02-16T12:28:34.607121-08:00,,0,FALSE
20,2026-02-16T12:56:03.069070-08:00,,0,FALSE
21,2026-02-16T13:05:42.852132-08:00,,0,FALSE
1,2026-02-15T18:20:25.694173-08:00,5.24,95,FALSE
2,2026-02-15T19:01:20.617030-08:00,5.33,95,TRUE
1,2026-02-15T10:39:48.152847-08:00,,0,FALSE
2,2026-02-15T11:15:39.650852-08:00,,0,FALSE
3,2026-02-15T11:24:47.165173-08:00,3.17,95,FALSE
4,2026-02-15T16:49:45.493833-08:00,25.85,75,FALSE
5,2026-02-15T21:18:13.921829-08:00,3.17,95,TRUE
1,2026-02-15T21:07:29.489727-08:00,,0,FALSE
2,2026-02-15T21:21:53.402192-08:00,4.49,95,TRUE
1,2026-02-15T15:52:43.711539-08:00,,0,FALSE
2,2026-02-15T18:49:30.294108-08:00,36.03,0,FALSE
3,2026-02-15T22:03:33.425868-08:00,5.53,95,FALSE
4,2026-02-15T23:10:51.663693-08:00,6.3,95,FALSE
5,2026-02-15T23:17:25.033950-08:00,-1,0,FALSE
6,2026-02-15T23:23:28.348986-08:00,5.61,95,TRUE
1,2026-02-15T23:37:12.057344-08:00,38.39,0,FALSE
2,2026-02-15T23:54:15.937864-08:00,4.5,95,TRUE
1,2026-02-16T00:36:25.120933-08:00,5.52,95,TRUE
1,2026-02-16T00:37:47.231778-08:00,4.55,95,TRUE
1,2026-02-16T01:31:03.983361-08:00,,0,FALSE
2,2026-02-16T01:41:01.832310-08:00,-1,95,TRUE
1,2026-02-16T11:27:31.766843-08:00,6.13,95,TRUE
1,2026-02-16T11:15:29.432611-08:00,,0,FALSE
2,2026-02-16T12:21:23.524328-08:00,5.06,95,TRUE
1,2026-02-12T19:26:17.093371-08:00,-1,0,FALSE
2,2026-02-12T22:16:39.199035-08:00,-1,0,FALSE
3,2026-02-13T14:27:17.314582-08:00,3.33,95,FALSE
4,2026-02-16T12:36:31.656297-08:00,3.11,95,TRUE
1,2026-02-15T16:14:15.821413-08:00,457.97,0,FALSE
2,2026-02-16T12:37:13.395988-08:00,-1,95,TRUE
1,2026-02-15T18:28:56.770326-08:00,-1,75,FALSE
2,2026-02-15T21:15:20.704549-08:00,-1,0,FALSE
3,2026-02-15T21:43:19.577196-08:00,25.67,75,FALSE
4,2026-02-16T13:07:53.553614-08:00,5.08,95,TRUE
1,2026-02-16T13:42:37.249124-08:00,5.79,95,TRUE
1,2026-02-16T14:49:01.532918-08:00,5.68,95,TRUE
1,2026-02-16T14:49:04.889061-08:00,5.45,95,TRUE
1,2026-02-16T11:54:49.150882-08:00,38.37,0,FALSE
2,2026-02-16T14:55:18.402165-08:00,5.63,95,TRUE
1,2026-02-16T00:40:43.925578-08:00,-1,85,FALSE
2,2026-02-16T12:50:46.813158-08:00,-1,95,FALSE
3,2026-02-16T13:50:53.797064-08:00,-1,95,FALSE
4,2026-02-16T14:58:27.100631-08:00,-1,95,TRUE
1,2026-02-16T15:16:27.723327-08:00,,0,FALSE
2,2026-02-16T15:16:56.258230-08:00,-1,95,TRUE
1,2026-02-14T16:29:42.276136-08:00,37.78,0,FALSE
2,2026-02-16T15:44:24.514874-08:00,5.03,95,TRUE
1,2026-02-16T11:20:23.668713-08:00,59.61,0,FALSE
2,2026-02-16T11:42:13.864685-08:00,9.08,90,FALSE
3,2026-02-16T12:00:20.794562-08:00,9.08,90,FALSE
4,2026-02-16T12:22:07.592156-08:00,9.02,90,FALSE
5,2026-02-16T16:12:12.423298-08:00,5.92,95,TRUE
1,2026-02-16T16:26:18.690778-08:00,4.25,95,TRUE
1,2026-02-16T16:48:59.355082-08:00,6.51,95,TRUE
1,2026-02-16T14:03:07.909151-08:00,37.41,0,FALSE
2,2026-02-16T16:54:51.363771-08:00,6.17,95,TRUE
1,2026-02-16T12:27:12.371638-08:00,40.05,0,FALSE
2,2026-02-16T17:58:22.244942-08:00,4.62,95,TRUE
1,2026-02-16T18:02:00.513236-08:00,6.58,95,TRUE
1,2026-02-12T15:38:51.723841-08:00,3.96,95,FALSE
2,2026-02-16T18:04:48.178176-08:00,3.76,95,TRUE
1,2026-02-16T16:58:51.503998-08:00,,0,FALSE
2,2026-02-16T19:14:14.290701-08:00,6.64,95,TRUE
1,2026-02-16T04:13:02.794079-08:00,5.36,89.06,FALSE
2,2026-02-16T19:26:47.965940-08:00,5.13,95,TRUE
1,2026-02-16T19:48:41.612653-08:00,7.5,95,TRUE
1,2026-02-16T20:39:54.758915-08:00,6.96,95,TRUE
1,2026-02-14T23:56:44.889426-08:00,33.61,75,FALSE
2,2026-02-15T00:51:49.041972-08:00,34.1,75,FALSE
3,2026-02-15T18:04:08.722215-08:00,8.87,90,FALSE
4,2026-02-16T18:27:18.911740-08:00,8.41,90,FALSE
5,2026-02-16T19:27:42.961289-08:00,8.66,90,FALSE
6,2026-02-16T20:26:58.527050-08:00,6.22,29.69,FALSE
7,2026-02-16T20:44:15.249054-08:00,6.32,95,TRUE
1,2026-02-16T14:41:33.289849-08:00,-1,0,FALSE
2,2026-02-16T14:53:24.895490-08:00,57.44,0,FALSE
3,2026-02-16T16:54:48.602292-08:00,-1,85,FALSE
4,2026-02-16T21:29:24.102312-08:00,6.12,95,TRUE
1,2026-02-16T21:39:16.872980-08:00,5.3,95,TRUE
1,2026-02-16T22:34:45.395841-08:00,4.61,95,TRUE
1,2026-02-16T21:11:22.546714-08:00,-1,0,FALSE
2,2026-02-16T22:59:46.558075-08:00,,0,FALSE
3,2026-02-16T23:01:00.231626-08:00,6.21,95,TRUE
1,2026-02-16T23:02:25.866275-08:00,5.41,95,TRUE
1,2026-02-16T23:26:01.452516-08:00,6.18,95,TRUE
1,2026-02-15T22:59:32.156182-08:00,38.77,0,FALSE
2,2026-02-16T19:33:16.738205-08:00,39.73,0,FALSE
3,2026-02-16T22:05:51.123893-08:00,,0,FALSE
4,2026-02-16T22:53:30.717905-08:00,-1,0,FALSE
5,2026-02-16T23:17:43.179484-08:00,5.53,95,FALSE
6,2026-02-16T23:27:25.341762-08:00,5.12,95,TRUE
1,2026-02-16T00:19:40.005296-08:00,,0,FALSE
2,2026-02-16T22:09:31.822141-08:00,5.32,95,FALSE
3,2026-02-16T22:18:28.444360-08:00,6.82,95,FALSE
4,2026-02-16T22:29:11.229813-08:00,-1,0,FALSE
5,2026-02-16T22:34:45.418118-08:00,7.02,95,FALSE
6,2026-02-16T22:57:09.456079-08:00,-1,95,FALSE
7,2026-02-16T23:10:58.684614-08:00,-1,85,FALSE
8,2026-02-16T23:20:28.437529-08:00,-1,90,FALSE
9,2026-02-16T23:32:03.266818-08:00,-1,95,TRUE
1,2026-02-16T23:40:41.325284-08:00,4.05,95,FALSE
2,2026-02-17T00:57:16.014886-08:00,3.23,95,TRUE
1,2026-02-17T01:05:09.614207-08:00,6.29,95,TRUE
1,2026-02-17T01:43:17.378757-08:00,5.27,95,TRUE
1,2026-02-17T02:44:07.833890-08:00,6.06,95,TRUE
1,2026-02-17T04:54:18.333925-08:00,4.64,95,TRUE
1,2026-02-16T18:20:17.674583-08:00,37.17,0,FALSE
2,2026-02-17T11:08:35.638826-08:00,5.59,95,TRUE
1,2026-02-15T15:04:59.631570-08:00,38.43,0,FALSE
2,2026-02-17T11:34:59.788652-08:00,6.51,95,TRUE
1,2026-02-17T11:58:08.621423-08:00,,0,FALSE
2,2026-02-17T12:09:04.581832-08:00,-1,95,TRUE
1,2026-02-16T23:23:06.729494-08:00,,0,FALSE
2,2026-02-17T13:36:34.520255-08:00,4.51,95,TRUE
1,2026-02-17T12:51:12.025317-08:00,-1,83.12,FALSE
2,2026-02-17T13:57:16.793373-08:00,-1,95,TRUE
1,2026-02-17T14:30:36.909400-08:00,4.47,95,TRUE
1,2026-02-17T14:50:15.282330-08:00,6.08,95,TRUE
2,2026-02-18T14:36:46.626320-08:00,,0,FALSE
1,2026-02-17T15:11:31.230291-08:00,4.66,95,TRUE
1,2026-02-17T13:26:46.142640-08:00,38.47,0,FALSE
2,2026-02-17T14:20:54.640983-08:00,38.73,0,FALSE
3,2026-02-17T15:22:30.111527-08:00,38.33,0,FALSE
4,2026-02-17T15:55:35.097719-08:00,6.46,95,TRUE
1,2026-02-17T13:35:06.578368-08:00,35.9,0,FALSE
2,2026-02-17T14:44:06.125246-08:00,,0,FALSE
3,2026-02-17T16:02:51.364304-08:00,6.4,95,TRUE
1,2026-02-16T20:39:55.145626-08:00,5.94,89.06,FALSE
2,2026-02-17T16:11:39.468891-08:00,4.41,95,TRUE
1,2026-02-17T16:27:05.628838-08:00,5.46,95,TRUE
1,2026-02-17T16:34:17.285440-08:00,4.21,95,TRUE
1,2026-02-17T16:50:00.797422-08:00,6.33,95,TRUE
1,2026-02-16T12:09:29.334716-08:00,37.1,0,FALSE
2,2026-02-17T16:56:42.328064-08:00,5.19,95,TRUE
1,2026-02-17T17:06:49.124830-08:00,6.33,95,TRUE
1,2026-02-17T07:32:32.194316-08:00,-1,69.06,FALSE
2,2026-02-17T10:37:58.694885-08:00,17.85,85,FALSE
3,2026-02-17T17:10:42.730018-08:00,5.13,95,TRUE
4,2026-02-18T11:53:09.977886-08:00,-1,89.06,FALSE
1,2026-02-15T21:29:37.166136-08:00,-1,0,FALSE
2,2026-02-15T21:45:50.476978-08:00,-1,0,FALSE
3,2026-02-16T11:07:37.762260-08:00,-1,0,FALSE
4,2026-02-16T11:19:12.535783-08:00,-1,83.12,FALSE
5,2026-02-17T06:29:34.326595-08:00,3.98,95,FALSE
6,2026-02-17T17:20:48.202505-08:00,3.3,95,TRUE
1,2026-02-17T13:11:02.666234-08:00,38.49,0,FALSE
2,2026-02-17T17:31:24.042344-08:00,7.3,95,TRUE
1,2026-02-16T23:21:50.322172-08:00,,0,FALSE
2,2026-02-17T16:35:53.942562-08:00,-1,0,FALSE
3,2026-02-17T16:53:07.836632-08:00,-1,0,FALSE
4,2026-02-17T17:03:01.136484-08:00,-1,0,FALSE
5,2026-02-17T17:55:50.417599-08:00,3.19,95,TRUE
6,2026-02-17T18:06:10.331245-08:00,33.97,75,FALSE
1,2026-02-17T18:59:26.052552-08:00,5.6,95,TRUE
1,2026-02-16T21:48:49.970877-08:00,37.03,0,FALSE
2,2026-02-16T22:13:33.118143-08:00,32.66,75,FALSE
3,2026-02-17T19:20:47.069837-08:00,4.45,95,TRUE
1,2026-02-17T19:24:27.216017-08:00,5.78,95,TRUE
1,2026-02-17T17:40:22.193111-08:00,-1,75,FALSE
2,2026-02-17T19:24:44.344066-08:00,4.86,95,TRUE
1,2026-02-17T18:38:55.630851-08:00,-1,0,FALSE
2,2026-02-17T19:49:32.972333-08:00,3.51,95,TRUE
1,2026-02-17T20:06:31.418853-08:00,4.62,95,TRUE
1,2026-02-17T17:40:00.603123-08:00,10.45,85,FALSE
