attempt_number,submission_time,runtime_ms,score,active
1,2026-02-24T11:17:05.040899-08:00,,0,FALSE
2,2026-02-24T13:12:05.207164-08:00,,95,TRUE
1,2026-02-24T15:50:54.761785-08:00,,95,TRUE
1,2026-02-24T15:53:15.838786-08:00,,95,TRUE
1,2026-02-24T15:54:53.112983-08:00,,95,TRUE
1,2026-02-24T16:04:51.019320-08:00,,95,TRUE
1,2026-02-24T16:07:54.803441-08:00,,95,TRUE
1,2026-02-24T16:25:37.317907-08:00,,95,TRUE
1,2026-02-24T16:27:33.464668-08:00,,95,TRUE
1,2026-02-24T16:30:26.062617-08:00,,95,TRUE
1,2026-02-24T16:37:52.180044-08:00,,95,TRUE
1,2026-02-24T16:44:18.571788-08:00,,95,TRUE
1,2026-02-24T16:47:33.693201-08:00,,95,TRUE
1,2026-02-24T16:48:32.193114-08:00,,95,TRUE
1,2026-02-24T17:02:43.068614-08:00,,95,TRUE
1,2026-02-24T17:30:25.409825-08:00,,95,TRUE
1,2026-02-24T17:41:30.707621-08:00,,95,TRUE
1,2026-02-24T18:10:39.979643-08:00,,95,TRUE
1,2026-02-24T16:03:42.988703-08:00,,0,FALSE
2,2026-02-24T16:06:51.239779-08:00,,0,FALSE
3,2026-02-24T16:59:02.835921-08:00,,0,FALSE
4,2026-02-24T17:37:45.774775-08:00,,0,FALSE
5,2026-02-24T18:25:42.504017-08:00,,95,TRUE
1,2026-02-24T18:41:09.126116-08:00,,95,TRUE
1,2026-02-24T19:15:02.853970-08:00,,95,TRUE
1,2026-02-24T19:34:52.205600-08:00,,95,TRUE
1,2026-02-24T19:39:04.780809-08:00,,95,TRUE
1,2026-02-24T19:40:44.907572-08:00,,95,TRUE
1,2026-02-24T19:41:19.773857-08:00,,95,TRUE
2,2026-02-24T19:43:55.154544-08:00,,0,FALSE
1,2026-02-24T19:43:17.695101-08:00,,95,TRUE
1,2026-02-24T20:40:12.903450-08:00,,95,TRUE
1,2026-02-24T19:40:11.985168-08:00,,0,FALSE
2,2026-02-24T21:16:21.947471-08:00,,95,TRUE
1,2026-02-24T21:17:31.715471-08:00,,95,TRUE
1,2026-02-24T21:18:34.197291-08:00,,95,TRUE
1,2026-02-24T21:31:18.074800-08:00,,95,TRUE
1,2026-02-24T21:47:40.845336-08:00,,95,TRUE
1,2026-02-24T22:04:50.839181-08:00,,95,TRUE
1,2026-02-24T22:10:39.431950-08:00,,95,TRUE
1,2026-02-24T22:19:33.477543-08:00,,95,TRUE
1,2026-02-24T22:31:01.587795-08:00,,95,TRUE
1,2026-02-24T22:43:25.095248-08:00,,95,TRUE
1,2026-02-24T23:12:53.375549-08:00,,95,FALSE
2,2026-02-24T23:14:54.630473-08:00,,95,TRUE
1,2026-02-25T00:37:54.368306-08:00,,95,TRUE
1,2026-02-25T03:58:36.483333-08:00,,95,TRUE
1,2026-02-25T08:07:38.751438-08:00,,95,TRUE
1,2026-02-25T10:05:28.200692-08:00,,95,TRUE
1,2026-02-25T10:36:38.142623-08:00,,95,TRUE
1,2026-02-25T10:52:09.254974-08:00,,95,TRUE
1,2026-02-25T11:03:32.946096-08:00,,95,TRUE
1,2026-02-25T11:34:41.464682-08:00,,95,TRUE
1,2026-02-25T11:39:51.325583-08:00,,95,TRUE
1,2026-02-25T11:42:58.949107-08:00,,95,TRUE
1,2026-02-25T11:50:44.729138-08:00,,95,TRUE
1,2026-02-24T18:23:42.984122-08:00,,0,FALSE
2,2026-02-25T12:12:13.664629-08:00,,95,TRUE
1,2026-02-25T12:33:31.767098-08:00,,95,TRUE
1,2026-02-25T12:53:23.676182-08:00,,95,TRUE
1,2026-02-25T12:56:48.222363-08:00,,95,TRUE
1,2026-02-25T13:18:24.050881-08:00,,95,TRUE
