attempt_number,submission_time,runtime_ms,score,active
1,2026-01-17T01:53:36.469833-08:00,,95,TRUE
1,2026-01-17T03:48:26.557343-08:00,,0,FALSE
2,2026-01-17T04:04:40.477310-08:00,,95,TRUE
1,2026-01-17T08:29:37.059500-08:00,,95,TRUE
1,2026-01-17T08:58:48.847798-08:00,,95,TRUE
1,2026-01-17T09:35:45.238265-08:00,,95,TRUE
1,2026-01-17T10:05:24.644652-08:00,,95,TRUE
1,2026-01-17T10:45:45.818252-08:00,,95,TRUE
1,2026-01-17T10:25:29.176143-08:00,,0,FALSE
2,2026-01-17T10:32:42.116622-08:00,,0,FALSE
3,2026-01-17T11:59:43.274577-08:00,,95,TRUE
1,2026-01-17T19:47:21.690015-08:00,,95,TRUE
1,2026-01-17T20:01:10.089034-08:00,,95,TRUE
1,2026-01-17T20:26:22.643076-08:00,,95,TRUE
1,2026-01-17T20:38:08.666935-08:00,,95,TRUE
1,2026-01-17T20:39:48.145967-08:00,,95,TRUE
1,2026-01-17T20:59:48.149579-08:00,,95,TRUE
1,2026-01-17T19:48:55.263492-08:00,,0,FALSE
2,2026-01-17T19:50:40.396987-08:00,,0,FALSE
3,2026-01-17T20:01:33.645875-08:00,,0,FALSE
4,2026-01-17T20:03:13.122453-08:00,,0,FALSE
5,2026-01-17T21:08:28.690422-08:00,,95,TRUE
1,2026-01-17T21:35:42.686384-08:00,,95,TRUE
1,2026-01-17T21:59:09.781110-08:00,,95,TRUE
1,2026-01-17T22:01:37.209156-08:00,,95,TRUE
1,2026-01-17T22:09:47.340447-08:00,,95,TRUE
1,2026-01-17T22:37:17.962825-08:00,,95,TRUE
1,2026-01-17T23:48:23.096486-08:00,,95,TRUE
1,2026-01-17T22:23:11.097484-08:00,,85.5,FALSE
2,2026-01-17T23:37:30.708747-08:00,,85.5,FALSE
3,2026-01-18T00:46:15.997435-08:00,,95,TRUE
1,2026-01-18T00:52:46.815836-08:00,,95,TRUE
